Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp
VAST,2016,Toward Theoretical Techniques for Measuring the Use of Human Effort in Visual Analytic Systems,10.1109/tvcg.2016.2598460,http://dx.doi.org/10.1109/TVCG.2016.2598460,121.0,130.0,J,"Visual analytic systems have long relied on user studies and standard datasets to demonstrate advances to the state of the art, as well as to illustrate the efficiency of solutions to domain-specific challenges. This approach has enabled some important comparisons between systems, but unfortunately the narrow scope required to facilitate these comparisons has prevented many of these lessons from being generalized to new areas. At the same time, advanced visual analytic systems have made increasing use of human-machine collaboration to solve problems not tractable by machine computation alone. To continue to make progress in modeling user tasks in these hybrid visual analytic systems, we must strive to gain insight into what makes certain tasks more complex than others. This will require the development of mechanisms for describing the balance to be struck between machine and human strengths with respect to analytical tasks and workload. In this paper, we argue for the necessity of theoretical tools for reasoning about such balance in visual analytic systems and demonstrate the utility of the Human Oracle Model for this purpose in the context of sensemaking in visual analytics. Additionally, we make use of the Human Oracle Model to guide the development of a new system through a case study in the domain of cybersecurity.",R. Jordan Crouser;Lyndsey Franklin;Alex Endert;Kristin A. Cook,R. Jordan Crouser;Lyndsey Franklin;Alex Endert;Kris Cook,Smith College;Smith College;Smith College;Smith College,10.1109/vast.2011.6102467;10.1109/vast.2010.5652910;10.1109/vast.2011.6102438;10.1109/tvcg.2012.195;10.1109/vast.2015.7347625;10.1109/vast.2007.4389009;10.1109/vast.2011.6102449;10.1109/vast.2012.6400486;10.1109/vast.2011.6102467,Theoretical models;human oracle;visual analytics;mixed initiative systems;semantic interaction;sensemaking,20.0,16.0,87.0,978.0,,
VAST,2016,VisMatchmaker: Cooperation of the User and the Computer in Centralized Matching Adjustment,10.1109/tvcg.2016.2599378,http://dx.doi.org/10.1109/TVCG.2016.2599378,231.0,240.0,J,"Centralized matching is a ubiquitous resource allocation problem. In a centralized matching problem, each agent has a preference list ranking the other agents and a central planner is responsible for matching the agents manually or with an algorithm. While algorithms can find a matching which optimizes some performance metrics, they are used as a black box and preclude the central planner from applying his domain knowledge to find a matching which aligns better with the user tasks. Furthermore, the existing matching visualization techniques (i.e. bipartite graph and adjacency matrix) fail in helping the central planner understand the differences between matchings. In this paper, we present VisMatchmaker, a visualization system which allows the central planner to explore alternatives to an algorithm-generated matching. We identified three common tasks in the process of matching adjustment: problem detection, matching recommendation and matching evaluation. We classified matching comparison into three levels and designed visualization techniques for them, including the number line view and the stacked graph view. Two types of algorithmic support, namely direct assignment and range search, and their interactive operations are also provided to enable the user to apply his domain knowledge in matching adjustment.",Po-Ming Law;Wenchao Wu;Yixian Zheng;Huamin Qu,Po-Ming Law;Wenchao Wu;Yixian Zheng;Huamin Qu,Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Hong Kong University of Science and Technology,10.1109/infvis.2004.1;10.1109/tvcg.2006.122;10.1109/tvcg.2014.2346249;10.1109/tvcg.2014.2346441;10.1109/vast.2011.6102453;10.1109/infvis.2004.1,Centralized matching;matching visualization;interaction techniques;visual analytics,7.0,8.0,32.0,557.0,,
VAST,2017,"Warning, Bias May Occur: A Proposed Approach to Detecting Cognitive Bias in Interactive Visual Analytics",10.1109/vast.2017.8585669,http://dx.doi.org/10.1109/VAST.2017.8585669,104.0,115.0,C,"Visual analytic tools combine the complementary strengths of humans and machines in human-in-the-loop systems. Humans provide invaluable domain expertise and sensemaking capabilities to this discourse with analytic models; however, little consideration has yet been given to the ways inherent human biases might shape the visual analytic process. In this paper, we establish a conceptual framework for considering bias assessment through human-in-the-loop systems and lay the theoretical foundations for bias measurement. We propose six preliminary metrics to systematically detect and quantify bias from user interactions and demonstrate how the metrics might be implemented in an existing visual analytic system, InterAxis. We discuss how our proposed metrics could be used by visual analytic systems to mitigate the negative effects of cognitive biases by making users aware of biased processes throughout their analyses.",Emily Wall;Leslie M. Blaha;Lyndsey Franklin;Alex Endert,Emily Wall;Leslie M. Blaha;Lyndsey Franklin;Alex Endert,Georgia Tech;Pacific Northwest National Laboratory;Pacific Northwest National Laboratory;Georgia Tech,10.1109/vast.2012.6400486;10.1109/tvcg.2014.2346575;10.1109/vast.2015.7347625;10.1109/tvcg.2016.2598594;10.1109/vast.2011.6102449;10.1109/tvcg.2016.2599058;10.1109/vast.2008.4677365;10.1109/vast.2008.4677361;10.1109/visual.2000.885678;10.1109/tvcg.2015.2467615;10.1109/tvcg.2016.2598446;10.1109/tvcg.2012.273;10.1109/tvcg.2015.2467551;10.1109/tvcg.2015.2467591;10.1109/tvcg.2014.2346481;10.1109/tvcg.2016.2598466;10.1109/tvcg.2017.2745078;10.1109/tvcg.2007.70589;10.1109/tvcg.2007.70515;10.1109/vast.2012.6400486,"cognitive bias,visual analytics,human-in-the-loop,mixed initiative,user interaction,H.5.0 [Information Systems]: Human-Computer Interaction-General",115.0,70.0,80.0,1801.0,,
VAST,2017,Podium: Ranking Data Using Mixed-Initiative Visual Analytics,10.1109/tvcg.2017.2745078,http://dx.doi.org/10.1109/TVCG.2017.2745078,288.0,297.0,J,"People often rank and order data points as a vital part of making decisions. Multi-attribute ranking systems are a common tool used to make these data-driven decisions. Such systems often take the form of a table-based visualization in which users assign weights to the attributes representing the quantifiable importance of each attribute to a decision, which the system then uses to compute a ranking of the data. However, these systems assume that users are able to quantify their conceptual understanding of how important particular attributes are to a decision. This is not always easy or even possible for users to do. Rather, people often have a more holistic understanding of the data. They form opinions that data point A is better than data point B but do not necessarily know which attributes are important. To address these challenges, we present a visual analytic application to help people rank multi-variate data points. We developed a prototype system, Podium, that allows users to drag rows in the table to rank order data points based on their perception of the relative value of the data. Podium then infers a weighting model using Ranking SVM that satisfies the user's data preferences as closely as possible. Whereas past systems help users understand the relationships between data points based on changes to attribute weights, our approach helps users to understand the attributes that might inform their understanding of the data. We present two usage scenarios to describe some of the potential uses of our proposed technique: (1) understanding which attributes contribute to a user's subjective preferences for data, and (2) deconstructing attributes of importance for existing rankings. Our proposed approach makes powerful machine learning techniques more usable to those who may not have expertise in these areas.",Emily Wall;Subhajit Das 0002;Ravish Chawla;Bharath Kalidindi;Eli T. Brown;Alex Endert,Emily Wall;Subhajit Das;Ravish Chawla;Bharath Kalidindi;Eli T. Brown;Alex Endert,"Georgia Institute of Technology, Atlanta, GA, USA;Georgia Institute of Technology, Atlanta, GA, USA;Georgia Institute of Technology, Atlanta, GA, USA;Georgia Institute of Technology, Atlanta, GA, USA;DePaul University, Chicago, IL, USA;Georgia Institute of Technology, Atlanta, GA, USA",10.1109/infvis.2005.1532136;10.1109/vast.2012.6400486;10.1109/tvcg.2014.2346575;10.1109/vast.2015.7347625;10.1109/tvcg.2016.2598594;10.1109/vast.2011.6102449;10.1109/tvcg.2013.173;10.1109/tvcg.2015.2467615;10.1109/tvcg.2016.2598446;10.1109/tvcg.2015.2467551;10.1109/tvcg.2016.2598839;10.1109/tvcg.2012.253;10.1109/vast.2017.8585669;10.1109/infvis.2005.1532136,"Mixed-initiative visual analytics,multi-attribute ranking,user interaction",0.0,52.0,48.0,1535.0,,
InfoVis,2018,Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco,10.1109/tvcg.2018.2865240,http://dx.doi.org/10.1109/TVCG.2018.2865240,438.0,448.0,J,"There exists a gap between visualization design guidelines and their application in visualization tools. While empirical studies can provide design guidance, we lack a formal framework for representing design knowledge, integrating results across studies, and applying this knowledge in automated design tools that promote effective encodings and facilitate visual exploration. We propose modeling visualization design knowledge as a collection of constraints, in conjunction with a method to learn weights for soft constraints from experimental data. Using constraints, we can take theoretical design knowledge and express it in a concrete, extensible, and testable form: the resulting models can recommend visualization designs and can easily be augmented with additional constraints or updated weights. We implement our approach in Draco, a constraint-based system based on Answer Set Programming (ASP). We demonstrate how to construct increasingly sophisticated automated visualization design systems, including systems based on weights learned directly from the results of graphical perception experiments.",Dominik Moritz;Chenglong Wang;Greg L. Nelson;Halden Lin;Adam M. Smith 0001;Bill Howe;Jeffrey Heer,Dominik Moritz;Chenglong Wang;Greg L. Nelson;Halden Lin;Adam M. Smith;Bill Howe;Jeffrey Heer,University of Washington;University of Washington;University of Washington;University of Washington;University of California Santa Cruz;University of Washington;University of Washington,10.1109/infvis.2005.1532136;10.1109/tvcg.2014.2346984;10.1109/tvcg.2013.183;10.1109/tvcg.2014.2346979;10.1109/tvcg.2007.70594;10.1109/tvcg.2017.2744320;10.1109/tvcg.2017.2744198;10.1109/tvcg.2017.2744198;10.1109/tvcg.2016.2599030;10.1109/tvcg.2017.2744359;10.1109/tvcg.2015.2467191,"Automated Visualization Design,Perceptual Effectiveness,Constraints,Knowledge Bases,Answer Set Programming",225.0,177.0,67.0,3238.0,BP,
InfoVis,2018,Augmenting Visualizations with Interactive Data Facts to Facilitate Interpretation and Communication,10.1109/tvcg.2018.2865145,http://dx.doi.org/10.1109/TVCG.2018.2865145,672.0,681.0,J,"Recently, an increasing number of visualization systems have begun to incorporate natural language generation (NLG) capabilities into their interfaces. NLG-based visualization systems typically leverage a suite of statistical functions to automatically extract key facts about the underlying data and surface them as natural language sentences alongside visualizations. With current systems, users are typically required to read the system-generated sentences and mentally map them back to the accompanying visualization. However, depending on the features of the visualization (e.g., visualization type, data density) and the complexity of the data fact, mentally mapping facts to visualizations can be a challenging task. Furthermore, more than one visualization could be used to illustrate a single data fact. Unfortunately, current tools provide little or no support for users to explore such alternatives. In this paper, we explore how system-generated data facts can be treated as interactive widgets to help users interpret visualizations and communicate their findings. We present Voder, a system that lets users interact with automatically-generated data facts to explore both alternative visualizations to convey a data fact as well as a set of embellishments to highlight a fact within a visualization. Leveraging data facts as interactive widgets, Voder also facilitates data fact-based visualization search. To assess Voder's design and features, we conducted a preliminary user study with 12 participants having varying levels of experience with visualization tools. Participant feedback suggested that interactive data facts aided them in interpreting visualizations. Participants also stated that the suggestions surfaced through the facts helped them explore alternative visualizations and embellishments to communicate individual data facts.",Arjun Srinivasan;Steven Mark Drucker;Alex Endert;John T. Stasko,Arjun Srinivasan;Steven M. Drucker;Alex Endert;John Stasko,"Georgia Institute of Technology, Atlanta, GA, US;Microsoft Research, Redmond, WA, US;Georgia Institute of Technology, Atlanta, GA, US;Georgia Institute of Technology, Atlanta, GA, US",10.1109/infvis.2005.1532136;10.1109/tvcg.2013.124;10.1109/tvcg.2010.164;10.1109/tvcg.2013.119;10.1109/tvcg.2012.229;10.1109/tvcg.2007.70594;10.1109/visual.1992.235203;10.1109/tvcg.2017.2744843;10.1109/tvcg.2017.2745219;10.1109/visual.1990.146375;10.1109/tvcg.2015.2467191,"Natural Language Generation,Mixed-initiative Interaction,Visualization Recommendation,Data-driven Communication",120.0,121.0,50.0,2942.0,,
VAST,2018,DQNViz: A Visual Analytics Approach to Understand Deep Q-Networks,10.1109/tvcg.2018.2864504,http://dx.doi.org/10.1109/TVCG.2018.2864504,288.0,298.0,J,"Deep Q-Network (DQN), as one type of deep reinforcement learning model, targets to train an intelligent agent that acquires optimal actions while interacting with an environment. The model is well known for its ability to surpass professional human players across many Atari 2600 games. Despite the superhuman performance, in-depth understanding of the model and interpreting the sophisticated behaviors of the DQN agent remain to be challenging tasks, due to the long-time model training process and the large number of experiences dynamically generated by the agent. In this work, we propose DQNViz, a visual analytics system to expose details of the blind training process in four levels, and enable users to dive into the large experience space of the agent for comprehensive analysis. As an initial attempt in visualizing DQN models, our work focuses more on Atari games with a simple action space, most notably the Breakout game. From our visual analytics of the agent's experiences, we extract useful action/reward patterns that help to interpret the model and control the training. Through multiple case studies conducted together with deep learning experts, we demonstrate that DQNViz can effectively help domain experts to understand, diagnose, and potentially improve DQN models.",Junpeng Wang 0001;Liang Gou;Han-Wei Shen;Hao Yang 0007,Junpeng Wang;Liang Gou;Han-Wei Shen;Hao Yang,The Ohio State University;Visa Research;The Ohio State University;Visa Research,10.1109/tvcg.2017.2744683;10.1109/tvcg.2014.2346682;10.1109/tvcg.2017.2745320;10.1109/tvcg.2017.2744718;10.1109/tvcg.2011.179;10.1109/tvcg.2017.2744938;10.1109/tvcg.2016.2598831;10.1109/vast.2017.8585721;10.1109/tvcg.2013.200;10.1109/tvcg.2017.2744358;10.1109/tvcg.2017.2744158;10.1109/tvcg.2017.2744683,"Deep Q-Network (DQN),reinforcement learning,model interpretation,visual analytics",108.0,91.0,55.0,2871.0,HM,
VAST,2018,Visual Analytics for Topic Model Optimization based on User-Steerable Speculative Execution,10.1109/tvcg.2018.2864769,http://dx.doi.org/10.1109/TVCG.2018.2864769,374.0,384.0,J,"To effectively assess the potential consequences of human interventions in model-driven analytics systems, we establish the concept of speculative execution as a visual analytics paradigm for creating user-steerable preview mechanisms. This paper presents an explainable, mixed-initiative topic modeling framework that integrates speculative execution into the algorithmic decision-making process. Our approach visualizes the model-space of our novel incremental hierarchical topic modeling algorithm, unveiling its inner-workings. We support the active incorporation of the user's domain knowledge in every step through explicit model manipulation interactions. In addition, users can initialize the model with expected topic seeds, the backbone priors. For a more targeted optimization, the modeling process automatically triggers a speculative execution of various optimization strategies, and requests feedback whenever the measured model quality deteriorates. Users compare the proposed optimizations to the current model state and preview their effect on the next model iterations, before applying one of them. This supervised human-in-the-Ioop process targets maximum improvement for minimum feedback and has proven to be effective in three independent studies that confirm topic model quality improvements.",Mennatallah El-Assady;Fabian Sperrle;Oliver Deussen;Daniel A. Keim;Christopher Collins 0001,Mennatallah El-Assady;Fabian Sperrle;Oliver Deussen;Daniel Keim;Christopher Collins,"Universitat Konstanz, Konstanz, Baden-WÃ¼rttemberg, DE;Universitat Konstanz, Konstanz, Baden-WÃ¼rttemberg, DE;Universitat Konstanz, Konstanz, Baden-WÃ¼rttemberg, DE;Universitat Konstanz, Konstanz, Baden-WÃ¼rttemberg, DE;University of Ontario Institute of Technology, Oshawa, ON, CA",10.1109/vast.2014.7042493;10.1109/vast.2011.6102461;10.1109/tvcg.2013.162;10.1109/tvcg.2017.2745080;10.1109/tvcg.2017.2744199;10.1109/tvcg.2017.2743959;10.1109/tvcg.2013.231;10.1109/tvcg.2013.212;10.1109/tvcg.2016.2598445;10.1109/tvcg.2014.2346578;10.1109/tvcg.2013.232;10.1109/vast.2014.7042493,"User-Steerable Topic Modeling,Speculative Execution,Mixed-Initiative Visual Analytics,Explainable Machine Learning",47.0,40.0,69.0,1217.0,,
VAST,2019,FAIRVIS: Visual Analytics for Discovering Intersectional Bias in Machine Learning,10.1109/vast47406.2019.8986948,http://dx.doi.org/10.1109/VAST47406.2019.8986948,46.0,56.0,C,"The growing capability and accessibility of machine learning has led to its application to many real-world domains and data about people. Despite the benefits algorithmic systems may bring, models can reflect, inject, or exacerbate implicit and explicit societal biases into their outputs, disadvantaging certain demographic subgroups. Discovering which biases a machine learning model has introduced is a great challenge, due to the numerous definitions of fairness and the large number of potentially impacted subgroups. We present FAIRVIS, a mixed-initiative visual analytics system that integrates a novel subgroup discovery technique for users to audit the fairness of machine learning models. Through FAIRVIS, users can apply domain knowledge to generate and investigate known subgroups, and explore suggested and similar subgroups. FAIRVIS's coordinated views enable users to explore a high-level overview of subgroup performance and subsequently drill down into detailed investigation of specific subgroups. We show how FAIRVIS helps to discover biases in two real datasets used in predicting income and recidivism. As a visual analytics system devoted to discovering bias in machine learning, FAIRVIS demonstrates how interactive visualization may help data scientists and the general public understand and create more equitable algorithmic systems.",Ángel Alexander Cabrera;Will Epperson;Fred Hohman;Minsuk Kahng;Jamie Morgenstern;Duen Horng Chau,Ángel Alexander Cabrera;Will Epperson;Fred Hohman;Minsuk Kahng;Jamie Morgenstern;Duen Horng Chau,Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology,10.1109/tvcg.2017.2744718;10.1109/vast.2017.8585720;10.1109/tvcg.2016.2598828;10.1109/tvcg.2018.2865044;10.1109/tvcg.2017.2744718,"Machine learning fairness,visual analytics,intersectional bias,subgroup discovery",107.0,106.0,38.0,2108.0,,
InfoVis,2019,Text-to-Viz: Automatic Generation of Infographics from Proportion-Related Natural Language Statements,10.1109/tvcg.2019.2934785,http://dx.doi.org/10.1109/TVCG.2019.2934785,906.0,916.0,J,"Combining data content with visual embellishments, infographics can effectively deliver messages in an engaging and memorable manner. Various authoring tools have been proposed to facilitate the creation of infographics. However, creating a professional infographic with these authoring tools is still not an easy task, requiring much time and design expertise. Therefore, these tools are generally not attractive to casual users, who are either unwilling to take time to learn the tools or lacking in proper design expertise to create a professional infographic. In this paper, we explore an alternative approach: to automatically generate infographics from natural language statements. We first conducted a preliminary study to explore the design space of infographics. Based on the preliminary study, we built a proof-of-concept system that automatically converts statements about simple proportion-related statistics to a set of infographics with pre-designed styles. Finally, we demonstrated the usability and usefulness of the system through sample results, exhibits, and expert reviews.",Weiwei Cui;Xiaoyu Zhang 0014;Yun Wang 0012;He Huang;Bei Chen;Lei Fang 0004;Haidong Zhang;Jian-Guang Lou;Dongmei Zhang 0001,Weiwei Cui;Xiaoyu Zhang;Yun Wang;He Huang;Bei Chen;Lei Fang;Haidong Zhang;Jian-Guan Lou;Dongmei Zhang,"Microsoft Research Asia;ViDi Research Group, University of California, Davis;Microsoft Research Asia;Microsoft Research Asia;Microsoft Research Asia;Microsoft Research Asia;Microsoft Research Asia;Microsoft Research Asia;Microsoft Research Asia",10.1109/tvcg.2016.2598647;10.1109/tvcg.2012.197;10.1109/tvcg.2015.2467732;10.1109/tvcg.2013.234;10.1109/tvcg.2016.2598876;10.1109/tvcg.2015.2467321;10.1109/tvcg.2016.2598620;10.1109/tvcg.2007.70594;10.1109/tvcg.2012.221;10.1109/tvcg.2018.2865240;10.1109/tvcg.2014.2346291;10.1109/tvcg.2018.2865158;10.1109/tvcg.2010.179;10.1109/tvcg.2015.2467471;10.1109/tvcg.2018.2865145;10.1109/tvcg.2007.70577;10.1109/tvcg.2015.2467191;10.1109/tvcg.2016.2598647,"Visualization for the masses,infographic,automatic visualization,presentation,and dissemination",79.0,71.0,73.0,2661.0,,
VAST,2019,Semantic Concept Spaces: Guided Topic Model Refinement using Word-Embedding Projections,10.1109/tvcg.2019.2934654,http://dx.doi.org/10.1109/TVCG.2019.2934654,1001.0,1011.0,J,"We present a framework that allows users to incorporate the semantics of their domain knowledge for topic model refinement while remaining model-agnostic. Our approach enables users to (1) understand the semantic space of the model, (2) identify regions of potential conflicts and problems, and (3) readjust the semantic relation of concepts based on their understanding, directly influencing the topic modeling. These tasks are supported by an interactive visual analytics workspace that uses word-embedding projections to define concept regions which can then be refined. The user-refined concepts are independent of a particular document collection and can be transferred to related corpora. All user interactions within the concept space directly affect the semantic relations of the underlying vector space model, which, in turn, change the topic modeling. In addition to direct manipulation, our system guides the users' decision-making process through recommended interactions that point out potential improvements. This targeted refinement aims at minimizing the feedback required for an efficient human-in-the-loop process. We confirm the improvements achieved through our approach in two user studies that show topic model quality improvements through our visual knowledge externalization and learning process.",Mennatallah El-Assady;Rebecca Kehlbeck;Christopher Collins 0001;Daniel A. Keim;Oliver Deussen,Mennatallah El-Assady;Rebecca Kehlbeck;Christopher Collins;Daniel Keim;Oliver Deussen,"University of Konstanz, Germany and Ontario Tech University, Canada;University of Konstanz, Germany;Ontario Tech University, Canada;University of Konstanz, Germany;University of Konstanz, Germany",10.1109/vast.2014.7042493;10.1109/tvcg.2013.212;10.1109/vast.2011.6102461;10.1109/tvcg.2013.162;10.1109/tvcg.2017.2745080;10.1109/tvcg.2018.2864769;10.1109/vast.2017.8585498;10.1109/tvcg.2017.2746018;10.1109/tvcg.2017.2744199;10.1109/tvcg.2013.126;10.1109/tvcg.2017.2744478;10.1109/tvcg.2019.2934629;10.1109/vast.2014.7042494;10.1109/vast.2014.7042493,"Topic Model Optimization,Word Embedding,Mixed-Initiative Refinement,Guided Visual Analytics,Semantic Mapping",30.0,18.0,59.0,1300.0,,
InfoVis,2020,Calliope: Automatic Visual Data Story Generation from a Spreadsheet,10.1109/tvcg.2020.3030403,http://dx.doi.org/10.1109/TVCG.2020.3030403,453.0,463.0,J,"Visual data stories shown in the form of narrative visualizations such as a poster or a data video, are frequently used in data-oriented storytelling to facilitate the understanding and memorization of the story content. Although useful, technique barriers, such as data analysis, visualization, and scripting, make the generation of a visual data story difficult. Existing authoring tools rely on users' skills and experiences, which are usually inefficient and still difficult. In this paper, we introduce a novel visual data story generating system, Calliope, which creates visual data stories from an input spreadsheet through an automatic process and facilities the easy revision of the generated story based on an online story editor. Particularly, Calliope incorporates a new logic-oriented Monte Carlo tree search algorithm that explores the data space given by the input spreadsheet to progressively generate story pieces (i.e., data facts) and organize them in a logical order. The importance of data facts is measured based on information theory, and each data fact is visualized in a chart and captioned by an automatically generated description. We evaluate the proposed technique through three example stories, two controlled experiments, and a series of interviews with 10 domain experts. Our evaluation shows that Calliope is beneficial to efficient visual data story generation.",Danqing Shi;Xinyue Xu;Fuling Sun;Yang Shi 0007;Nan Cao 0001,Danqing Shi;Xinyue Xu;Fuling Sun;Yang Shi;Nan Cao,"Intelligent Big Data Visualization Lab, Tongji University;Intelligent Big Data Visualization Lab, Tongji University;Intelligent Big Data Visualization Lab, Tongji University;Intelligent Big Data Visualization Lab, Tongji University;Intelligent Big Data Visualization Lab, Tongji University",10.1109/tvcg.2016.2598647;10.1109/tvcg.2015.2467732;10.1109/tvcg.2019.2934785;10.1109/tvcg.2013.119;10.1109/tvcg.2007.70594;10.1109/tvcg.2018.2865240;10.1109/tvcg.2019.2934281;10.1109/tvcg.2010.179;10.1109/tvcg.2018.2865145;10.1109/tvcg.2018.2865232;10.1109/tvcg.2019.2934398;10.1109/tvcg.2016.2598647,"Information Visualization,Visual Storytelling,Data Story",56.0,80.0,57.0,3724.0,,
InfoVis,2020,PlotThread: Creating Expressive Storyline Visualizations using Reinforcement Learning,10.1109/tvcg.2020.3030467,http://dx.doi.org/10.1109/TVCG.2020.3030467,294.0,303.0,J,"Storyline visualizations are an effective means to present the evolution of plots and reveal the scenic interactions among characters. However, the design of storyline visualizations is a difficult task as users need to balance between aesthetic goals and narrative constraints. Despite that the optimization-based methods have been improved significantly in terms of producing aesthetic and legible layouts, the existing (semi-) automatic methods are still limited regarding 1) efficient exploration of the storyline design space and 2) flexible customization of storyline layouts. In this work, we propose a reinforcement learning framework to train an AI agent that assists users in exploring the design space efficiently and generating well-optimized storylines. Based on the framework, we introduce PlotThread, an authoring tool that integrates a set of flexible interactions to support easy customization of storyline visualizations. To seamlessly integrate the AI agent into the authoring process, we employ a mixed-initiative approach where both the agent and designers work on the same canvas to boost the collaborative design of storylines. We evaluate the reinforcement learning model through qualitative and quantitative experiments and demonstrate the usage of PlotThread using a collection of use cases.",Tan Tang;Renzhong Li;Xinke Wu;Shuhan Liu;Johannes Knittel;Steffen Koch 0001;Lingyun Yu 0001;Peiran Ren;Thomas Ertl;Yingcai Wu,Tan Tang;Renzhong Li;Xinke Wu;Shuhan Liu;Johannes Knittel;Steffen Koch;Lingyun Yu;Peiran Ren;Thomas Ertl;Yingcai Wu,"Zhejiang Lab and State Key Lab of CAD&CG, Zhejiang University;Zhejiang Lab and State Key Lab of CAD&CG, Zhejiang University;Zhejiang Lab and State Key Lab of CAD&CG, Zhejiang University;Zhejiang Lab and State Key Lab of CAD&CG, Zhejiang University;VIS/VISUS, University of Stuttgart;VIS/VISUS, University of Stuttgart;VIS/VISUS, University of Stuttgart;Department of Computer Science and Software Engineering, Xi 'an Jiaotong-Liverpool University.;Alibaba Group;Zhejiang Lab and State Key Lab of CAD&CG, Zhejiang University",10.1109/vast.2017.8585487;10.1109/tvcg.2019.2934396;10.1109/tvcg.2013.191;10.1109/tvcg.2016.2598831;10.1109/tvcg.2013.196;10.1109/tvcg.2012.212;10.1109/tvcg.2018.2864899;10.1109/tvcg.2019.2934798;10.1109/vast.2017.8585487,"Storyline visualization,reinforcement learning,mixed-initiative design",26.0,36.0,50.0,1931.0,,
InfoVis,2020,Retrieve-Then-Adapt: Example-based Automatic Generation for Proportion-related Infographics,10.1109/tvcg.2020.3030448,http://dx.doi.org/10.1109/TVCG.2020.3030448,443.0,452.0,J,"Infographic is a data visualization technique which combines graphic and textual descriptions in an aesthetic and effective manner. Creating infographics is a difficult and time-consuming process which often requires significant attempts and adjustments even for experienced designers, not to mention novice users with limited design expertise. Recently, a few approaches have been proposed to automate the creation process by applying predefined blueprints to user information. However, predefined blueprints are often hard to create, hence limited in volume and diversity. In contrast, good infogrpahics have been created by professionals and accumulated on the Internet rapidly. These online examples often represent a wide variety of design styles, and serve as exemplars or inspiration to people who like to create their own infographics. Based on these observations, we propose to generate infographics by automatically imitating examples. We present a two-stage approach, namely retrieve-then-adapt. In the retrieval stage, we index online examples by their visual elements. For a given user information, we transform it to a concrete query by sampling from a learned distribution about visual elements, and then find appropriate examples in our example library based on the similarity between example indexes and the query. For a retrieved example, we generate an initial drafts by replacing its content with user information. However, in many cases, user information cannot be perfectly fitted to retrieved examples. Therefore, we further introduce an adaption stage. Specifically, we propose a MCMC-like approach and leverage recursive neural networks to help adjust the initial draft and improve its visual appearance iteratively, until a satisfactory result is obtained. We implement our approach on widely-used proportion-related infographics, and demonstrate its effectiveness by sample results and expert reviews.",Chunyao Qian;Shizhao Sun;Weiwei Cui;Jian-Guang Lou;Haidong Zhang;Dongmei Zhang 0001,Chunyao Qian;Shizhao Sun;Weiwei Cui;Jian-Guang Lou;Haidong Zhang;Dongmei Zhang,"Microsoft Research Asia, Peking University;Microsoft Research Asia;Microsoft Research Asia;Microsoft Research Asia;Microsoft Research Asia;Microsoft Research Asia",10.1109/tvcg.2019.2934810;10.1109/tvcg.2019.2934785;10.1109/tvcg.2019.2934431;10.1109/tvcg.2016.2598620;10.1109/tvcg.2019.2934810,"Infographics,automatic visualization",20.0,31.0,38.0,1004.0,,
VAST,2020,VizCommender: Computing Text-Based Similarity in Visualization Repositories for Content-Based Recommendations,10.1109/tvcg.2020.3030387,http://dx.doi.org/10.1109/TVCG.2020.3030387,495.0,505.0,J,"Cloud-based visualization services have made visual analytics accessible to a much wider audience than ever before. Systems such as Tableau have started to amass increasingly large repositories of analytical knowledge in the form of interactive visualization workbooks. When shared, these collections can form a visual analytic knowledge base. However, as the size of a collection increases, so does the difficulty in finding relevant information. Content-based recommendation (CBR) systems could help analysts in finding and managing workbooks relevant to their interests. Toward this goal, we focus on text-based content that is representative of the subject matter of visualizations rather than the visual encodings and style. We discuss the challenges associated with creating a CBR based on visualization specifications and explore more concretely how to implement the relevance measures required using Tableau workbook specifications as the source of content data. We also demonstrate what information can be extracted from these visualization specifications and how various natural language processing techniques can be used to compute similarity between workbooks as one way to measure relevance. We report on a crowd-sourced user study to determine if our similarity measure mimics human judgement. Finally, we choose latent Dirichl et al.ocation (LDA) as a specific model and instantiate it in a proof-of-concept recommender tool to demonstrate the basic function of our similarity measure.",Michael Oppermann;Robert Kincaid;Tamara Munzner,Michael Oppermann;Robert Kincaid;Tamara Munzner,Tableau Research and the University of British Columbia;Tableau Research (retired);University of British Columbia,10.1109/tvcg.2015.2467757;10.1109/tvcg.2014.2346978;10.1109/tvcg.2014.2346325;10.1109/tvcg.2007.70594;10.1109/tvcg.2018.2865240;10.1109/tvcg.2018.2864903;10.1109/tvcg.2016.2599030;10.1109/tvcg.2007.70577;10.1109/tvcg.2015.2467757,"visualization recommendation,content-based filtering,recommender systems,visualization workbook repositories",26.0,28.0,81.0,1243.0,,
