Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp
VAST,2019,Understanding the Role of Alternatives in Data Analysis Practices,10.1109/tvcg.2019.2934593,http://dx.doi.org/10.1109/TVCG.2019.2934593,66.0,76.0,J,"Data workers are people who perform data analysis activities as a part of their daily work but do not formally identify as data scientists. They come from various domains and often need to explore diverse sets of hypotheses and theories, a variety of data sources, algorithms, methods, tools, and visual designs. Taken together, we call these alternatives. To better understand and characterize the role of alternatives in their analyses, we conducted semi-structured interviews with 12 data workers with different types of expertise. We conducted four types of analyses to understand 1) why data workers explore alternatives; 2) the different notions of alternatives and how they fit into the sensemaking process; 3) the high-level processes around alternatives; and 4) their strategies to generate, explore, and manage those alternatives. We find that participants' diverse levels of domain and computational expertise, experience with different tools, and collaboration within their broader context play an important role in how they explore these alternatives. These findings call out the need for more attention towards a deeper understanding of alternatives and the need for better tools to facilitate the exploration, interpretation, and management of alternatives. Drawing upon these analyses and findings, we present a framework based on participants' 1) degree of attention, 2) abstraction level, and 3) analytic processes. We show how this framework can help understand how data workers consider such alternatives in their analyses and how tool designers might create tools to better support them.",Jiali Liu;Nadia Boukhelifa;James R. Eagan,Jiali Liu;Nadia Boukhelifa;James R. Eagan,"LTCI, Télécom Paris, Institut Polytechnique de Paris;INRA, Université Paris-Saclay;LTCI, Télécom Paris, Institut Polytechnique de Paris",10.1109/tvcg.2012.219;10.1109/vast.2011.6102438;10.1109/tvcg.2018.2864836;10.1109/tvcg.2012.219,"alternatives,data workers,data analysis,data science,sensemaking,qualitative study",37.0,26.0,46.0,1142.0,,
VAST,2015,Mixed-initiative visual analytics using task-driven recommendations,10.1109/vast.2015.7347625,http://dx.doi.org/10.1109/VAST.2015.7347625,9.0,16.0,C,"Visual data analysis is composed of a collection of cognitive actions and tasks to decompose, internalize, and recombine data to produce knowledge and insight. Visual analytic tools provide interactive visual interfaces to data to support discovery and sensemaking tasks, including forming hypotheses, asking questions, and evaluating and organizing evidence. Myriad analytic models can be incorporated into visual analytic systems at the cost of increasing complexity in the analytic discourse between user and system. Techniques exist to increase the usability of interacting with analytic models, such as inferring data models from user interactions to steer the underlying models of the system via semantic interaction, shielding users from having to do so explicitly. Such approaches are often also referred to as mixed-initiative systems. Sensemaking researchers have called for development of tools that facilitate analytic sensemaking through a combination of human and automated activities. However, design guidelines do not exist for mixed-initiative visual analytic systems to support iterative sensemaking. In this paper, we present candidate design guidelines and introduce the Active Data Environment (ADE) prototype, a spatial workspace supporting the analytic process via task recommendations invoked by inferences about user interactions within the workspace. ADE recommends data and relationships based on a task model, enabling users to co-reason with the system about their data in a single, spatial workspace. This paper provides an illustrative use case, a technical description of ADE, and a discussion of the strengths and limitations of the approach.",Kristin A. Cook;Nick Cramer;David J. Israel;Michael Wolverton;Joe Bruce;Russ Burtner;Alex Endert,Kristin Cook;Nick Cramer;David Israel;Michael Wolverton;Joe Bruce;Russ Burtner;Alex Endert,Pacific Northwest National Laboratory;Pacific Northwest National Laboratory;SRI International;SRI International;Pacific Northwest National Laboratory;Pacific Northwest National Laboratory;Georgia Institute of Technology,10.1109/vast.2012.6400486;10.1109/vast.2011.6102438;10.1109/vast.2012.6400559;10.1109/tvcg.2014.2346573;10.1109/vast.2014.7042492;10.1109/tvcg.2008.174;10.1109/tvcg.2013.225;10.1109/vast.2012.6400486,"mixed-initiative visual analytics, task modeling, recommender systems, sensemaking",36.0,25.0,36.0,815.0,,
VAST,2013,The Impact of Physical Navigation on Spatial Organization for Sensemaking,10.1109/tvcg.2013.205,http://dx.doi.org/10.1109/TVCG.2013.205,2207.0,2216.0,J,"Spatial organization has been proposed as a compelling approach to externalizing the sensemaking process. However, there are two ways in which space can be provided to the user: by creating a physical workspace that the user can interact with directly, such as can be provided by a large, high-resolution display, or through the use of a virtual workspace that the user navigates using virtual navigation techniques such as zoom and pan. In this study we explicitly examined the use of spatial sensemaking techniques within these two environments. The results demonstrate that these two approaches to providing sensemaking space are not equivalent, and that the greater embodiment afforded by the physical workspace changes how the space is perceived and used, leading to increased externalization of the sensemaking process.",Christopher Andrews 0001;Chris North 0001,Christopher Andrews;Chris North,"Middlebury College, USA;Virginia Technology, USA",10.1109/vast.2012.6400559;10.1109/vast.2008.4677358;10.1109/vast.2009.5333878;10.1109/vast.2012.6400559,"Sensemaking, visual analytics, physical navigation, embodiment, large and high-resolution displays",31.0,21.0,32.0,751.0,,
VAST,2016,Toward Theoretical Techniques for Measuring the Use of Human Effort in Visual Analytic Systems,10.1109/tvcg.2016.2598460,http://dx.doi.org/10.1109/TVCG.2016.2598460,121.0,130.0,J,"Visual analytic systems have long relied on user studies and standard datasets to demonstrate advances to the state of the art, as well as to illustrate the efficiency of solutions to domain-specific challenges. This approach has enabled some important comparisons between systems, but unfortunately the narrow scope required to facilitate these comparisons has prevented many of these lessons from being generalized to new areas. At the same time, advanced visual analytic systems have made increasing use of human-machine collaboration to solve problems not tractable by machine computation alone. To continue to make progress in modeling user tasks in these hybrid visual analytic systems, we must strive to gain insight into what makes certain tasks more complex than others. This will require the development of mechanisms for describing the balance to be struck between machine and human strengths with respect to analytical tasks and workload. In this paper, we argue for the necessity of theoretical tools for reasoning about such balance in visual analytic systems and demonstrate the utility of the Human Oracle Model for this purpose in the context of sensemaking in visual analytics. Additionally, we make use of the Human Oracle Model to guide the development of a new system through a case study in the domain of cybersecurity.",R. Jordan Crouser;Lyndsey Franklin;Alex Endert;Kristin A. Cook,R. Jordan Crouser;Lyndsey Franklin;Alex Endert;Kris Cook,Smith College;Smith College;Smith College;Smith College,10.1109/vast.2011.6102467;10.1109/vast.2010.5652910;10.1109/vast.2011.6102438;10.1109/tvcg.2012.195;10.1109/vast.2015.7347625;10.1109/vast.2007.4389009;10.1109/vast.2011.6102449;10.1109/vast.2012.6400486;10.1109/vast.2011.6102467,Theoretical models;human oracle;visual analytics;mixed initiative systems;semantic interaction;sensemaking,20.0,16.0,87.0,978.0,,
InfoVis,1999,Sensemaking of evolving Web sites using visualization spreadsheets,10.1109/infvis.1999.801853,http://dx.doi.org/10.1109/INFVIS.1999.801853,18.0,,C,"In the process of knowledge discovery, workers examine available information in order to make sense of it. By sensemaking, we mean interacting with and operating on the information with a variety of information processing mechanisms. Previously, we introduced a concept that uses the spreadsheet metaphor with cells containing visualizations of complex data. We extend and apply a cognitive model called ""visual sensemaking"" to the visualization spreadsheet. We use the task of making sense of a large Web site as a concrete example throughout the paper for demonstration. Using a variety of visualization techniques, such as the Disk Tree and Cone Tree, we show that the interactions of the visualization spreadsheet help users draw conclusions from the overall relationships of the entire information set.",Ed Huai-hsin Chi;Stuart K. Card,E.H. Chi;S.K. Card,"Xerox Palo Alto Research Center, Palo Alto, CA, USA;Xerox Palo Alto Research Center, Palo Alto, CA, USA",10.1109/infvis.1995.528691;10.1109/infvis.1995.528689;10.1109/infvis.1995.528686;10.1109/infvis.1998.729560;10.1109/visual.1993.398870;10.1109/infvis.1995.528692;10.1109/infvis.1995.528691,"Information visualization, Spreadsheet, Sensemaking, World Wide Web, Information ecologies, Log file analysis",65.0,15.0,19.0,229.0,,
VAST,2010,NetClinic: Interactive visualization to enhance automated fault diagnosis in enterprise networks,10.1109/vast.2010.5652910,http://dx.doi.org/10.1109/VAST.2010.5652910,131.0,138.0,C,"Diagnosing faults in an operational computer network is a frustrating, time-consuming exercise. Despite advances, automatic diagnostic tools are far from perfect: they occasionally miss the true culprit and are mostly only good at narrowing down the search to a few potential culprits. This uncertainty and the inability to extract useful sense from tool output renders most tools not usable to administrators. To bridge this gap, we present NetClinic, a visual analytics system that couples interactive visualization with an automated diagnostic tool for enterprise networks. It enables administrators to verify the output of the automatic analysis at different levels of detail and to move seamlessly across levels while retaining appropriate context. A qualitative user study shows that NetClinic users can accurately identify the culprit, even when it is not present in the suggestions made by the automated component. We also find that supporting a variety of sensemaking strategies is a key to the success of systems that enhance automated diagnosis.",Zhicheng Liu 0001;Bongshin Lee;Srikanth Kandula;Ratul Mahajan,Zhicheng Liu;Bongshin Lee;Srikanth Kandula;Ratul Mahajan,"Georgia Institute of Technology, Microsoft Research Limited, USA;Microsoft Research Limited, USA;Microsoft Research Limited, USA;Microsoft Research Limited, USA",10.1109/tvcg.2006.122;10.1109/tvcg.2007.70522;10.1109/vast.2009.5333878;10.1109/vast.2007.4389006;10.1109/vast.2006.261429;10.1109/tvcg.2006.122,"Sensemaking, Semantic Graph Layout, Visual Analytics, Network Diagnosis, Information Visualization",26.0,13.0,28.0,320.0,,
VAST,2010,"Geo-historical context support for information foraging and sensemaking: Conceptual model, implementation, and assessment",10.1109/vast.2010.5652895,http://dx.doi.org/10.1109/VAST.2010.5652895,139.0,146.0,C,"Information foraging and sensemaking with heterogeneous information are context-dependent activities. Thus visual analytics tools to support these activities must incorporate context. But, context is a difficult concept to define, model, and represent. Creating and representing context in support of visually-enabled reasoning about complex problems with complex information is a complementary but different challenge than that addressed in context-aware computing. In the latter, the goal is automated adaptation of the system to meet user needs for applications such as mobile location-based services where information about the location, the user, and the user goals filters what gets presented on a small mobile device. In contrast, for visual analytics-enabled information foraging and sensemaking, the user is likely to take an active role in foraging for the contextual information needed to support sensemaking in relation to some multifaceted problem. In this paper, we address the challenges of constructing and representing context within visual interfaces that support analytical reasoning in crisis management and humanitarian relief. The challenges stem from the diverse forms of information that can provide context and difficulty in defining and operationalizing context itself. Here, we pay particular attention to document foraging to support construction of the geographic and historical context within which monitoring and sensemaking can be carried out. Specifically, we present the concept of geo-historical context (GHC) and outline an empirical assessment of both the concept and its implementation in the Context Discovery Application, a web-based tool that supports document foraging and sensemaking.",Brian M. Tomaszewski;Alan M. MacEachren,Brian Tomaszewski;Alan M. MacEachren,"Department of Information Sciences and Technologies, Rochester Institute of Technology, Rochester, NY, USA;Department of Geography and GeoVISTA Center, Pennsylvania State University, University Park, PA, USA",,"context, foraging, sensemaking, mapping, text analysis, geographic information retrieval",23.0,10.0,32.0,373.0,,
VAST,2017,CRICTO: Supporting Sensemaking through Crowdsourced Information Schematization,10.1109/vast.2017.8585484,http://dx.doi.org/10.1109/VAST.2017.8585484,139.0,150.0,C,"We present CRICTO, a new crowdsourcing visual analytics environment for making sense of and analyzing text data, whereby multiple crowdworkers are able to parallelize the simple information schematization tasks of relating and connecting entities across documents. The diverse links from these schematization tasks are then automatically combined and the system visualizes them based on the semantic types of the linkages. CRICTO also includes several tools that allow analysts to interactively explore and refine crowdworkers' results to better support their own sensemaking processes. We evaluated CRICTO's techniques and analysis workflow with deployments of CRICTO using Amazon Mechanical Turk and a user study that assess the effect of crowdsourced schematization in sensemaking tasks. The results of our evaluation show that CRICTO's crowdsourcing approaches and workflow help analysts explore diverse aspects of datasets, and uncover more accurate hidden stories embedded in the text datasets.",Haeyong Chung;Sai Prashanth Dasari;Santhosh Nandhakumar;Christopher Andrews 0001,Haeyong Chung;Sai Prashanth Dasari;Santhosh Nandhakumar;Christopher Andrews,University of Alabama in Huntsville;University of Alabama in Huntsville;University of Alabama in Huntsville;Middlebury College,10.1109/vast.2007.4389006;10.1109/tvcg.2013.164;10.1109/tvcg.2007.70577;10.1109/vast.2009.5333878;10.1109/vast.2008.4677362;10.1109/tvcg.2014.2346573;10.1109/vast.2006.261439;10.1109/vast.2010.5652932;10.1109/vast.2007.4389011,"Visual text analytics,sensemaking,crowdsourcing",8.0,5.0,51.0,258.0,,
Vis,2022,The Influence of Visual Provenance Representations on Strategies in a Collaborative Hand-off Data Analysis Scenario,10.1109/tvcg.2022.3209495,http://dx.doi.org/10.1109/TVCG.2022.3209495,1113.0,1123.0,J,"Conducting data analysis tasks rarely occur in isolation. Especially in intelligence analysis scenarios where different experts contribute knowledge to a shared understanding, members must communicate how insights develop to establish common ground among collaborators. The use of provenance to communicate analytic sensemaking carries promise by describing the interactions and summarizing the steps taken to reach insights. Yet, no universal guidelines exist for communicating provenance in different settings. Our work focuses on the presentation of provenance information and the resulting conclusions reached and strategies used by new analysts. In an open-ended, 30-minute, textual exploration scenario, we qualitatively compare how adding different types of provenance information (specifically data coverage and interaction history) affects analysts' confidence in conclusions developed, propensity to repeat work, filtering of data, identification of relevant information, and typical investigation strategies. We see that data coverage (i.e., what was interacted with) provides provenance information without limiting individual investigation freedom. On the other hand, while interaction history (i.e., when something was interacted with) does not significantly encourage more mimicry, it does take more time to comfortably understand, as represented by less confident conclusions and less relevant information-gathering behaviors. Our results contribute empirical data towards understanding how provenance summarizations can influence analysis behaviors.",Jeremy E. Block;Shaghayegh Esmaeili;Eric D. Ragan;John R. Goodall;G. David Richardson,Jeremy E. Block;Shaghayegh Esmaeili;Eric D. Ragan;John R. Goodall;G. David Richardson,"University of Florida, USA;University of Florida, USA;University of Florida, USA;Oak Ridge National Laboratory, USA;Oak Ridge National Laboratory, USA",10.1109/tvcg.2013.155;10.1109/tvcg.2019.2934209;10.1109/vast.2014.7042492;10.1109/vast.2017.8585665;10.1109/vast.2017.8585658;10.1109/vast.2010.5652932;10.1109/tvcg.2018.2865233;10.1109/tvcg.2016.2599058;10.1109/tvcg.2015.2467613;10.1109/tvcg.2008.137;10.1109/vast.2009.5333878;10.1109/vast.2006.261415;10.1109/tvcg.2021.3114827;10.1109/vast.2016.7883515;10.1109/tvcg.2015.2467611;10.1109/tvcg.2015.2467551;10.1109/vast.2008.4677358;10.1109/tvcg.2017.2744805;10.1109/tvcg.2015.2467591;10.1109/tvcg.2016.2598466;10.1109/tvcg.2020.3030403;10.1109/tvcg.2018.2865024;10.1109/tvcg.2017.2744138;10.1109/tvcg.2013.132;10.1109/tvcg.2021.3114862;10.1109/tvcg.2013.164;10.1109/tvcg.2013.167;10.1109/tvcg.2017.2745279;10.1109/tvcg.2019.2934658;10.1109/tvcg.2013.155,"Analytic provenance,sensemaking,information transfer,visualization,workflow summarization,user studies",,2.0,75.0,444.0,,
VAST,2012,SocialNetSense: Supporting sensemaking of social and structural features in networks with interactive visualization,10.1109/vast.2012.6400558,http://dx.doi.org/10.1109/VAST.2012.6400558,133.0,142.0,C,"Increasingly, social network datasets contain social attribute information about actors and their relationship. Analyzing such network with social attributes requires making sense of not only its structural features, but also the relationship between social features in attributes and network structures. Existing social network analysis tools are usually weak in supporting complex analytical tasks involving both structural and social features, and often overlook users' needs for sensemaking tools that help to gather, synthesize, and organize information of these features. To address these challenges, we propose a sensemaking framework of social-network visual analytics in this paper. This framework considers both bottom-up processes, which are about constructing new understandings based on collected information, and top-down processes, which concern using prior knowledge to guide information collection, in analyzing social networks from both social and structural perspectives. The framework also emphasizes the externalization of sensemaking processes through interactive visualization. Guided by the framework, we develop a system, SocialNetSense, to support the sensemaking in visual analytics of social networks with social attributes. The example of using our system to analyze a scholar collaboration network shows that our approach can help users gain insight into social networks both structurally and socially, and enhance their process awareness in visual analytics.",Liang Gou;Xiaolong (Luke) Zhang;Airong Luo;Patricia F. Anderson,Liang Gou;Xiaolong Zhang;Airong Luo;Patricia F. Anderson,The Pennsylvania State University;The Pennsylvania State University;University of Michigan;University of Michigan,10.1109/infvis.1999.801853;10.1109/tvcg.2011.247;10.1109/infvis.2005.1532126;10.1109/visual.2005.1532788;10.1109/tvcg.2007.70582;10.1109/tvcg.2006.192;10.1109/vast.2009.5333020;10.1109/vast.2011.6102440;10.1109/vast.2006.261426;10.1109/infvis.2004.2;10.1109/tvcg.2008.137;10.1109/tvcg.2006.166;10.1109/tvcg.2006.160;10.1109/vast.2008.4677365;10.1109/tvcg.2006.147;10.1109/vast.2007.4389006;10.1109/infvis.1999.801853,"Social network, visualization, sensemaking, visual analytics, SocialNetSense",19.0,1.0,48.0,727.0,,
Vis,2024,Talk to the Wall: The Role of Speech Interaction in Collaborative Visual Analytics,10.1109/tvcg.2024.3456335,http://dx.doi.org/10.1109/TVCG.2024.3456335,941.0,951.0,J,"We present the results of an exploratory study on how pairs interact with speech commands and touch gestures on a wall-sized display during a collaborative sensemaking task. Previous work has shown that speech commands, alone or in combination with other input modalities, can support visual data exploration by individuals. However, it is still unknown whether and how speech commands can be used in collaboration, and for what tasks. To answer these questions, we developed a functioning prototype that we used as a technology probe. We conducted an in-depth exploratory study with 10 participant pairs to analyze their interaction choices, the interplay between the input modalities, and their collaboration. While touch was the most used modality, we found that participants preferred speech commands for global operations, used them for distant interaction, and that speech interaction contributed to the awareness of the partner's actions. Furthermore, the likelihood of using speech commands during collaboration was related to the personality trait of agreeableness. Regarding collaboration styles, participants interacted with speech equally often whether they were in loosely or closely coupled collaboration. While the partners stood closer to each other during close collaboration, they did not distance themselves to use speech commands. From our findings, we derive and contribute a set of design considerations for collaborative and multimodal interactive data analysis systems. All supplemental materials are available at https://osf.io/8gpv2.",Gabriela Molina León;Anastasia Bezerianos;Olivier Gladin;Petra Isenberg,Gabriela Molina León;Anastasia Bezerianos;Olivier Gladin;Petra Isenberg,"University of Bremen, Germany;Université Paris-Saclay, CNRS, Inria, France;Inria, France;Université Paris-Saclay, CNRS, Inria, France",10.1109/vast.2016.7883506;10.1109/tvcg.2012.251;10.1109/tvcg.2010.164;10.1109/vast.2010.5653587;10.1109/vast.2006.261420;10.1109/tvcg.2017.2744684;10.1109/vast.2010.5652880;10.1109/tvcg.2018.2865235;10.1109/tvcg.2012.204;10.1109/tvcg.2020.3030378;10.1109/tvcg.2020.3030460;10.1109/tvcg.2017.2745219;10.1109/tvcg.2012.275,"Speech interaction,wall display,,,collaborative sensemaking,multimodal interaction,collaboration styles",,0.0,59.0,301.0,HM,X
Vis,2023,Designing for Ambiguity in Visual Analytics: Lessons from Risk Assessment and Prediction,10.1109/tvcg.2023.3326571,http://dx.doi.org/10.1109/TVCG.2023.3326571,924.0,933.0,J,"Ambiguity is pervasive in the complex sensemaking domains of risk assessment and prediction but there remains little research on how to design visual analytics tools to accommodate it. We report on findings from a qualitative study based on a conceptual framework of sensemaking processes to investigate how both new visual analytics designs and existing tools, primarily data tables, support the cognitive work demanded in avalanche forecasting. While both systems yielded similar analytic outcomes we observed differences in ambiguous sensemaking and the analytic actions either afforded. Our findings challenge conventional visualization design guidance in both perceptual and interaction design, highlighting the need for data interfaces that encourage reflection, provoke alternative interpretations, and support the inherently ambiguous nature of sensemaking in this critical application. We review how different visual and interactive forms support or impede analytic processes and introduce “gisting” as a significant yet unexplored analytic action for visual analytics research. We conclude with design implications for enabling ambiguity in visual analytics tools to scaffold sensemaking in risk assessment.",Stanislaw Nowak;Lyn Bartram,Stan Nowak;Lyn Bartram,"Simon Fraser University, Canada;Simon Fraser University, Canada",0.1109/tvcg.2021.3114830;10.1109/tvcg.2013.124;10.1109/vast.2007.4389011;10.1109/tvcg.2017.2744684;10.1109/tvcg.2011.175;10.1109/tvcg.2022.3209451;10.1109/tvcg.2019.2934593;10.1109/tvcg.2018.2864913;10.1109/tvcg.2017.2745958,"Complex Systems,Risk Assessment,Sensemaking,Visualization Design",,0.0,66.0,367.0,,
